<s>	sil #1
用到	CH_# CH_y CH_o CH_N# CH_d CH_a CH_u
無限	CH_# CH_u CH_si CH_i CH_E CH_n# #1
二一	CH_# CH_@c CH_# CH_i #1
直到	CH_dzc CH_Uc CH_d CH_a CH_u #1
整數	CH_dzc CH_@ CH_N# CH_sc CH_u
式子	CH_sc CH_Uc CH_dz CH_U
說給	CH_sc CH_u CH_o CH_g CH_e CH_i
成長	CH_tsc CH_@ CH_N# CH_dzc CH_a CH_N#
任意	CH_Zc CH_@ CH_n# CH_# CH_i #1
物理	CH_# CH_u CH_l CH_i #1
上來	CH_sc CH_a CH_N# CH_l CH_a CH_i
求出	CH_tsi CH_i CH_o CH_u CH_tsc CH_u
排隊	CH_p CH_a CH_i CH_d CH_u CH_e CH_i
加成	CH_dzi CH_i CH_a CH_tsc CH_@ CH_N#
零一	CH_l CH_i CH_N# CH_# CH_i #1
隨著	CH_s CH_u CH_e CH_i CH_dzc CH_@
比照	CH_b CH_i CH_dzc CH_a CH_u
寫法	CH_si CH_i CH_E CH_f CH_a
相同	CH_si CH_i CH_a CH_N# CH_t CH_o CH_N# #1
拆解	CH_tsc CH_a CH_i CH_dzi CH_i CH_E
如此	CH_Zc CH_u CH_ts CH_U
軸上	CH_dzc CH_o CH_u CH_sc CH_a CH_N#
嚴重	CH_# CH_i CH_E CH_n# CH_dzc CH_o CH_N#
擺在	CH_b CH_a CH_i CH_dz CH_a CH_i
小我	CH_si CH_i CH_a CH_u CH_# CH_u CH_o
顏色	CH_# CH_i CH_E CH_n# CH_s CH_@
顏色	CH_# CH_i CH_E CH_n# CH_sc CH_a CH_i
若是	CH_Zc CH_u CH_o CH_sc CH_Uc
第五	CH_d CH_i CH_# CH_u #1
第六	CH_d CH_i CH_l CH_i CH_o CH_u
第七	CH_d CH_i CH_tsi CH_i #1
多所	CH_d CH_u CH_o CH_s CH_u CH_o
會長	CH_h CH_u CH_e CH_i CH_dzc CH_a CH_N#
移到	CH_# CH_i CH_d CH_a CH_u
交集	CH_dzi CH_i CH_a CH_u CH_dzi CH_i
部份	CH_b CH_u CH_f CH_@ CH_n# #1
相交	CH_si CH_i CH_a CH_N# CH_dzi CH_i CH_a CH_u #1
重疊	CH_tsc CH_o CH_N# CH_d CH_i CH_E
結論	CH_dzi CH_i CH_E CH_l CH_u CH_@ CH_n#
完整	CH_# CH_u CH_a CH_n# CH_dzc CH_@ CH_N# #1
小學	CH_si CH_i CH_a CH_u CH_si CH_y CH_E
及格	CH_dzi CH_i CH_g CH_@ #1
回想	CH_h CH_u CH_e CH_i CH_si CH_i CH_a CH_N#
集合	CH_dzi CH_i CH_h CH_@ #1
等一	CH_d CH_@ CH_N# CH_# CH_i
嚴謹	CH_# CH_i CH_E CH_n# CH_dzi CH_i CH_n#
長度	CH_tsc CH_a CH_N# CH_d CH_u #1
此外	CH_ts CH_U CH_# CH_u CH_a CH_i
正一	CH_dzc CH_@ CH_N# CH_# CH_i
相似	CH_si CH_i CH_a CH_N# CH_s CH_U
成就	CH_tsc CH_@ CH_N# CH_dzi CH_i CH_o CH_u
相反	CH_si CH_i CH_a CH_N# CH_f CH_a CH_n#
一了	CH_# CH_i CH_l CH_i CH_a CH_u #1
反映	CH_f CH_a CH_n# CH_# CH_i CH_N# #1
一致	CH_# CH_i CH_dzc CH_Uc #1
交換	CH_dzi CH_i CH_a CH_u CH_h CH_u CH_a CH_n#
先後	CH_si CH_i CH_E CH_n# CH_h CH_o CH_u
運算	CH_# CH_y CH_n# CH_s CH_u CH_a CH_n#
事先	CH_sc CH_Uc CH_si CH_i CH_E CH_n# #1
難以	CH_n CH_a CH_n# CH_# CH_i #1
除掉	CH_tsc CH_u CH_d CH_i CH_a CH_u
彼此	CH_b CH_i CH_ts CH_U
檢視	CH_dzi CH_i CH_E CH_n# CH_sc CH_Uc
放大	CH_f CH_a CH_N# CH_d CH_a
黃色	CH_h CH_u CH_a CH_N# CH_s CH_@
綠色	CH_l CH_y CH_s CH_@
之類	CH_dzc CH_Uc CH_l CH_e CH_i
數字	CH_sc CH_u CH_dz CH_U
更多	CH_g CH_@ CH_N# CH_d CH_u CH_o #1
是非	CH_sc CH_Uc CH_f CH_e CH_i
散成	CH_s CH_a CH_n# CH_tsc CH_@ CH_N#
化成	CH_h CH_u CH_a CH_tsc CH_@ CH_N#
平行	CH_p CH_i CH_N# CH_si CH_i CH_N#
為了	CH_# CH_u CH_e CH_i CH_l CH_@
換一	CH_h CH_u CH_a CH_n# CH_# CH_i #1
怪怪	CH_g CH_u CH_a CH_i CH_g CH_u CH_a CH_i
他用	CH_t CH_a CH_# CH_y CH_o CH_N#
之一	CH_dzc CH_Uc CH_# CH_i #1
面積	CH_m CH_i CH_E CH_n# CH_dzi CH_i
面對	CH_m CH_i CH_E CH_n# CH_d CH_u CH_e CH_i
大加	CH_d CH_a CH_dzi CH_i CH_a #1
就學	CH_dzi CH_i CH_o CH_u CH_si CH_y CH_E
搬到	CH_b CH_a CH_n# CH_d CH_a CH_u #3
較少	CH_dzi CH_i CH_a CH_u CH_sc CH_a CH_u
超出	CH_tsc CH_a CH_u CH_tsc CH_u
總是	CH_dz CH_o CH_N# CH_sc CH_Uc
組成	CH_dz CH_u CH_tsc CH_@ CH_N#
誤解	CH_# CH_u CH_dzi CH_i CH_E
故意	CH_g CH_u CH_# CH_i
才能	CH_ts CH_a CH_i CH_n CH_@ CH_N#
朋友	CH_p CH_o CH_N# CH_# CH_i CH_o CH_u #1
固定	CH_g CH_u CH_d CH_i CH_N#
好多	CH_h CH_a CH_u CH_d CH_u CH_o
初步	CH_tsc CH_u CH_b CH_u
普遍	CH_p CH_u CH_b CH_i CH_E CH_n#
一零	CH_# CH_i CH_l CH_i CH_N#
重來	CH_tsc CH_o CH_N# CH_l CH_a CH_i
變更	CH_b CH_i CH_E CH_n# CH_g CH_@ CH_N#
大約	CH_d CH_a CH_# CH_y CH_E
一二	CH_# CH_i CH_# CH_@c
二二	CH_# CH_@c CH_# CH_@c
一三	CH_# CH_i CH_s CH_a CH_n#
二三	CH_# CH_@c CH_s CH_a CH_n# #1
二四	CH_# CH_@c CH_s CH_U
究竟	CH_dzi CH_i CH_o CH_u CH_dzi CH_i CH_N#
八九	CH_b CH_a CH_dzi CH_i CH_o CH_u
留在	CH_l CH_i CH_o CH_u CH_dz CH_a CH_i
跳出	CH_t CH_i CH_a CH_u CH_tsc CH_u #1
停留	CH_t CH_i CH_N# CH_l CH_i CH_o CH_u
長短	CH_tsc CH_a CH_N# CH_d CH_u CH_a CH_n#
長多	CH_tsc CH_a CH_N# CH_d CH_u CH_o
長多	CH_dzc CH_a CH_N# CH_d CH_u CH_o
以免	CH_# CH_i CH_m CH_i CH_E CH_n# #1
太過	CH_t CH_a CH_i CH_g CH_u CH_o
甚至	CH_sc CH_@ CH_n# CH_dzc CH_Uc #1
簡直	CH_dzi CH_i CH_E CH_n# CH_dzc CH_Uc
組合	CH_dz CH_u CH_h CH_@ #1
名字	CH_m CH_i CH_N# CH_dz CH_U #1
看中	CH_k CH_a CH_n# CH_dzc CH_o CH_N#
翻開	CH_f CH_a CH_n# CH_k CH_a CH_i
白色	CH_b CH_a CH_i CH_s CH_@
相鄰	CH_si CH_i CH_a CH_N# CH_l CH_i CH_n#
成績	CH_tsc CH_@ CH_N# CH_dzi CH_i #1
十分	CH_sc CH_Uc CH_f CH_@ CH_n# #1
表現	CH_b CH_i CH_a CH_u CH_si CH_i CH_E CH_n#
畫出	CH_h CH_u CH_a CH_tsc CH_u
邊緣	CH_b CH_i CH_E CH_n# CH_# CH_y CH_E CH_n#
三組	CH_s CH_a CH_n# CH_dz CH_u
雙重	CH_sc CH_u CH_a CH_N# CH_tsc CH_o CH_N#
隨機	CH_s CH_u CH_e CH_i CH_dzi CH_i
對上	CH_d CH_u CH_e CH_i CH_sc CH_a CH_N#
解法	CH_dzi CH_i CH_E CH_f CH_a
還好	CH_h CH_a CH_i CH_h CH_a CH_u
調到	CH_t CH_i CH_a CH_u CH_d CH_a CH_u #1
討論	CH_t CH_a CH_u CH_l CH_u CH_@ CH_n#
四月	CH_s CH_U CH_# CH_y CH_E
道上	CH_d CH_a CH_u CH_sc CH_a CH_N#
原地	CH_# CH_y CH_E CH_n# CH_d CH_i #1
補充	CH_b CH_u CH_tsc CH_o CH_N#
比例	CH_b CH_i CH_l CH_i
幕後	CH_m CH_u CH_h CH_o CH_u
白白	CH_b CH_a CH_i CH_b CH_a CH_i
概說	CH_g CH_a CH_i CH_sc CH_u CH_o
前端	CH_tsi CH_i CH_E CH_n# CH_d CH_u CH_a CH_n#
震動	CH_dzc CH_@ CH_n# CH_d CH_o CH_N#
拉高	CH_l CH_a CH_g CH_a CH_u
充滿	CH_tsc CH_o CH_N# CH_m CH_a CH_n#
說完	CH_sc CH_u CH_o CH_# CH_u CH_a CH_n#
除非	CH_tsc CH_u CH_f CH_e CH_i
吵架	CH_tsc CH_a CH_u CH_dzi CH_i CH_a
用途	CH_# CH_y CH_o CH_N# CH_t CH_u
這兒	CH_dzc CH_@ CH_# CH_@c
精神	CH_dzi CH_i CH_N# CH_sc CH_@ CH_n#
教室	CH_dzi CH_i CH_a CH_u CH_sc CH_Uc
背景	CH_b CH_e CH_i CH_dzi CH_i CH_N#
要不	CH_# CH_i CH_a CH_u CH_b CH_u #1
開機	CH_k CH_a CH_i CH_dzi CH_i
吵雜	CH_tsc CH_a CH_u CH_dz CH_a
大聲	CH_d CH_a CH_sc CH_@ CH_N#
尤其	CH_# CH_i CH_o CH_u CH_tsi CH_i
餐廳	CH_ts CH_a CH_n# CH_t CH_i CH_N#
順便	CH_sc CH_u CH_@ CH_n# CH_b CH_i CH_E CH_n#
利用	CH_l CH_i CH_# CH_y CH_o CH_N#
所得	CH_s CH_u CH_o CH_d CH_@
算到	CH_s CH_u CH_a CH_n# CH_d CH_a CH_u
醫學	CH_# CH_i CH_si CH_y CH_E
學人	CH_si CH_y CH_E CH_Zc CH_@ CH_n#
神經	CH_sc CH_@ CH_n# CH_dzi CH_i CH_N#
難道	CH_n CH_a CH_n# CH_d CH_a CH_u
科學	CH_k CH_@ CH_si CH_y CH_E
距離	CH_dzi CH_y CH_l CH_i #2
以下	CH_# CH_i CH_si CH_i CH_a #1
音樂	CH_# CH_i CH_n# CH_# CH_y CH_E
細膩	CH_si CH_i CH_n CH_i
精細	CH_dzi CH_i CH_N# CH_si CH_i
用語	CH_# CH_y CH_o CH_N# CH_# CH_y #1
替代	CH_t CH_i CH_d CH_a CH_i
六一	CH_l CH_i CH_o CH_u CH_# CH_i
三四	CH_s CH_a CH_n# CH_s CH_U #1
四五	CH_s CH_U CH_# CH_u #1
五千	CH_# CH_u CH_tsi CH_i CH_E CH_n#
五十	CH_# CH_u CH_sc CH_Uc #1
次數	CH_ts CH_U CH_sc CH_u
普通	CH_p CH_u CH_t CH_o CH_N#
裝上	CH_dzc CH_u CH_a CH_N# CH_sc CH_a CH_N# #1
連結	CH_l CH_i CH_E CH_n# CH_dzi CH_i CH_E
好用	CH_h CH_a CH_u CH_# CH_y CH_o CH_N#
好不	CH_h CH_a CH_u CH_b CH_u #1
觀測	CH_g CH_u CH_a CH_n# CH_ts CH_@
氣溫	CH_tsi CH_i CH_# CH_u CH_@ CH_n#
陰天	CH_# CH_i CH_n# CH_t CH_i CH_E CH_n#
雨天	CH_# CH_y CH_t CH_i CH_E CH_n#
純粹	CH_tsc CH_u CH_@ CH_n# CH_ts CH_u CH_e CH_i
月份	CH_# CH_y CH_E CH_f CH_@ CH_n#
三等	CH_s CH_a CH_n# CH_d CH_@ CH_N#
千萬	CH_tsi CH_i CH_E CH_n# CH_# CH_u CH_a CH_n#
週末	CH_dzc CH_o CH_u CH_m CH_u CH_o
星期	CH_si CH_i CH_N# CH_tsi CH_i #1
白天	CH_b CH_a CH_i CH_t CH_i CH_E CH_n#
舉手	CH_dzi CH_y CH_sc CH_o CH_u
下午	CH_si CH_i CH_a CH_# CH_u
七號	CH_tsi CH_i CH_h CH_a CH_u
四下	CH_s CH_U CH_si CH_i CH_a
週二	CH_dzc CH_o CH_u CH_# CH_@c
四號	CH_s CH_U CH_h CH_a CH_u
八號	CH_b CH_a CH_h CH_a CH_u
按照	CH_# CH_a CH_n# CH_dzc CH_a CH_u
放假	CH_f CH_a CH_N# CH_dzi CH_i CH_a
較多	CH_dzi CH_i CH_a CH_u CH_d CH_u CH_o
可行	CH_k CH_@ CH_si CH_i CH_N# #1
週六	CH_dzc CH_o CH_u CH_l CH_i CH_o CH_u
想好	CH_si CH_i CH_a CH_N# CH_h CH_a CH_u
不可	CH_b CH_u CH_k CH_@ #1
輕鬆	CH_tsi CH_i CH_N# CH_s CH_o CH_N#
互換	CH_h CH_u CH_h CH_u CH_a CH_n#
分配	CH_f CH_@ CH_n# CH_p CH_e CH_i
單一	CH_d CH_a CH_n# CH_# CH_i #1
合乎	CH_h CH_@ CH_h CH_u
大都	CH_d CH_a CH_d CH_u #1
版本	CH_b CH_a CH_n# CH_b CH_@ CH_n#
必然	CH_b CH_i CH_Zc CH_a CH_n#
電路	CH_d CH_i CH_E CH_n# CH_l CH_u
觀點	CH_g CH_u CH_a CH_n# CH_d CH_i CH_E CH_n#
充分	CH_tsc CH_o CH_N# CH_f CH_@ CH_n# #1
必要	CH_b CH_i CH_# CH_i CH_a CH_u #1
古老	CH_g CH_u CH_l CH_a CH_u
延伸	CH_# CH_i CH_E CH_n# CH_sc CH_@ CH_n#
牆壁	CH_tsi CH_i CH_a CH_N# CH_b CH_i
反射	CH_f CH_a CH_n# CH_sc CH_@
金屬	CH_dzi CH_i CH_n# CH_sc CH_u
反應	CH_f CH_a CH_n# CH_# CH_i CH_N# #2
破爛	CH_p CH_u CH_o CH_l CH_a CH_n#
想想	CH_si CH_i CH_a CH_N# CH_si CH_i CH_a CH_N# #2
看上	CH_k CH_a CH_n# CH_sc CH_a CH_N#
沒完	CH_m CH_e CH_i CH_# CH_u CH_a CH_n#
不妨	CH_b CH_u CH_f CH_a CH_N#
用完	CH_# CH_y CH_o CH_N# CH_# CH_u CH_a CH_n#
接收	CH_dzi CH_i CH_E CH_sc CH_o CH_u #1
通信	CH_t CH_o CH_N# CH_si CH_i CH_n#
照樣	CH_dzc CH_a CH_u CH_# CH_i CH_a CH_N# #1
學電	CH_si CH_y CH_E CH_d CH_i CH_E CH_n#
電流	CH_d CH_i CH_E CH_n# CH_l CH_i CH_o CH_u
電壓	CH_d CH_i CH_E CH_n# CH_# CH_i CH_a
寫出	CH_si CH_i CH_E CH_tsc CH_u #1
輔助	CH_f CH_u CH_dzc CH_u
細說	CH_si CH_i CH_sc CH_u CH_o
結束	CH_dzi CH_i CH_E CH_sc CH_u #1
畫法	CH_h CH_u CH_a CH_f CH_a
減到	CH_dzi CH_i CH_E CH_n# CH_d CH_a CH_u
工具	CH_g CH_o CH_N# CH_dzi CH_y #1
為三	CH_# CH_u CH_e CH_i CH_s CH_a CH_n#
當做	CH_d CH_a CH_N# CH_dz CH_u CH_o
舒服	CH_sc CH_u CH_f CH_u
乾脆	CH_g CH_a CH_n# CH_ts CH_u CH_e CH_i
推出	CH_t CH_u CH_e CH_i CH_tsc CH_u
接受	CH_dzi CH_i CH_E CH_sc CH_o CH_u #2
傳統	CH_tsc CH_u CH_a CH_n# CH_t CH_o CH_N# #1
忽然	CH_h CH_u CH_Zc CH_a CH_n#
自我	CH_dz CH_U CH_# CH_u CH_o
罷工	CH_b CH_a CH_g CH_o CH_N#
二來	CH_# CH_@c CH_l CH_a CH_i
次之	CH_ts CH_U CH_dzc CH_Uc
聯絡	CH_l CH_i CH_E CH_n# CH_l CH_u CH_o #1
一兩	CH_# CH_i CH_l CH_i CH_a CH_N#
寄給	CH_dzi CH_i CH_g CH_e CH_i
優先	CH_# CH_i CH_o CH_u CH_si CH_i CH_E CH_n# #2
會考	CH_h CH_u CH_e CH_i CH_k CH_a CH_u
消化	CH_si CH_i CH_a CH_u CH_h CH_u CH_a
解答	CH_dzi CH_i CH_E CH_d CH_a #1
失掉	CH_sc CH_Uc CH_d CH_i CH_a CH_u
期中	CH_tsi CH_i CH_dzc CH_o CH_N# #1
連絡	CH_l CH_i CH_E CH_n# CH_l CH_u CH_o #2
人數	CH_Zc CH_@ CH_n# CH_sc CH_u
服務	CH_f CH_u CH_# CH_u
諒解	CH_l CH_i CH_a CH_N# CH_dzi CH_i CH_E
閱卷	CH_# CH_y CH_E CH_dzi CH_y CH_E CH_n#
去年	CH_tsi CH_y CH_n CH_i CH_E CH_n#
發給	CH_f CH_a CH_g CH_e CH_i
輪流	CH_l CH_u CH_@ CH_n# CH_l CH_i CH_o CH_u
今年	CH_dzi CH_i CH_n# CH_n CH_i CH_E CH_n# #1
明年	CH_m CH_i CH_N# CH_n CH_i CH_E CH_n#
唸書	CH_n CH_i CH_E CH_n# CH_sc CH_u
落後	CH_l CH_u CH_o CH_h CH_o CH_u
五月	CH_# CH_u CH_# CH_y CH_E
耽誤	CH_d CH_a CH_n# CH_# CH_u #1
無可	CH_# CH_u CH_k CH_@
排好	CH_p CH_a CH_i CH_h CH_a CH_u
上午	CH_sc CH_a CH_N# CH_# CH_u #1
一號	CH_# CH_i CH_h CH_a CH_u
九號	CH_dzi CH_i CH_o CH_u CH_h CH_a CH_u #1
提前	CH_t CH_i CH_tsi CH_i CH_E CH_n#
種有	CH_dzc CH_o CH_N# CH_# CH_i CH_o CH_u
取到	CH_tsi CH_y CH_d CH_a CH_u
疑問	CH_# CH_i CH_# CH_u CH_@ CH_n#
走完	CH_dz CH_o CH_u CH_# CH_u CH_a CH_n#
涉及	CH_sc CH_@ CH_dzi CH_i #1
要點	CH_# CH_i CH_a CH_u CH_d CH_i CH_E CH_n#
章節	CH_dzc CH_a CH_N# CH_dzi CH_i CH_E
說詞	CH_sc CH_u CH_o CH_ts CH_U
正常	CH_dzc CH_@ CH_N# CH_tsc CH_a CH_N#
用人	CH_# CH_y CH_o CH_N# CH_Zc CH_@ CH_n#
現場	CH_si CH_i CH_E CH_n# CH_tsc CH_a CH_N#
修改	CH_si CH_i CH_o CH_u CH_g CH_a CH_i
集中	CH_dzi CH_i CH_dzc CH_o CH_N# #1
做出	CH_dz CH_u CH_o CH_tsc CH_u #1
車窗	CH_tsc CH_@ CH_tsc CH_u CH_a CH_N#
對面	CH_d CH_u CH_e CH_i CH_m CH_i CH_E CH_n#
失真	CH_sc CH_Uc CH_dzc CH_@ CH_n# #1
重大	CH_dzc CH_o CH_N# CH_d CH_a
不需	CH_b CH_u CH_si CH_y #1
那兒	CH_n CH_a CH_# CH_@c
題材	CH_t CH_i CH_ts CH_a CH_i
帶有	CH_d CH_a CH_i CH_# CH_i CH_o CH_u
合作	CH_h CH_@ CH_dz CH_u CH_o
有名	CH_# CH_i CH_o CH_u CH_m CH_i CH_N#
旅行	CH_l CH_y CH_si CH_i CH_N# #1
嘴唇	CH_dz CH_u CH_e CH_i CH_dzc CH_@ CH_n#
受到	CH_sc CH_o CH_u CH_d CH_a CH_u #1
足夠	CH_dz CH_u CH_g CH_o CH_u
多加	CH_d CH_u CH_o CH_dzi CH_i CH_a
不一	CH_b CH_u CH_# CH_i #1
怎不	CH_dz CH_@ CH_n# CH_b CH_u
初期	CH_tsc CH_u CH_tsi CH_i #1
聽說	CH_t CH_i CH_N# CH_sc CH_u CH_o
大為	CH_d CH_a CH_# CH_u CH_e CH_i
一等	CH_# CH_i CH_d CH_@ CH_N#
填上	CH_t CH_i CH_E CH_n# CH_sc CH_a CH_N#
算了	CH_s CH_u CH_a CH_n# CH_l CH_@
行都	CH_si CH_i CH_N# CH_d CH_u
倒回	CH_d CH_a CH_u CH_h CH_u CH_e CH_i
填滿	CH_t CH_i CH_E CH_n# CH_m CH_a CH_n#
往後	CH_# CH_u CH_a CH_N# CH_h CH_o CH_u
設成	CH_sc CH_@ CH_tsc CH_@ CH_N#
加二	CH_dzi CH_i CH_a CH_# CH_@c
算進	CH_s CH_u CH_a CH_n# CH_dzi CH_i CH_n#
指說	CH_dzc CH_Uc CH_sc CH_u CH_o
數值	CH_sc CH_u CH_dzc CH_Uc #1
推說	CH_t CH_u CH_e CH_i CH_sc CH_u CH_o
了當	CH_l CH_i CH_a CH_u CH_d CH_a CH_N#
做下	CH_dz CH_u CH_o CH_si CH_i CH_a #1
最佳	CH_dz CH_u CH_e CH_i CH_dzi CH_i CH_a
可就	CH_k CH_@ CH_dzi CH_i CH_o CH_u
導出	CH_d CH_a CH_u CH_tsc CH_u #2
書籍	CH_sc CH_u CH_dzi CH_i #1
人稱	CH_Zc CH_@ CH_n# CH_tsc CH_@ CH_N#
到大	CH_d CH_a CH_u CH_d CH_a
上上	CH_sc CH_a CH_N# CH_sc CH_a CH_N#
相比	CH_si CH_i CH_a CH_N# CH_b CH_i #2
公式	CH_g CH_o CH_N# CH_sc CH_Uc #1
標出	CH_b CH_i CH_a CH_u CH_tsc CH_u
對等	CH_d CH_u CH_e CH_i CH_d CH_@ CH_N#
分在	CH_f CH_@ CH_n# CH_dz CH_a CH_i
說說	CH_sc CH_u CH_o CH_sc CH_u CH_o
換新	CH_h CH_u CH_a CH_n# CH_si CH_i CH_n#
放回	CH_f CH_a CH_N# CH_h CH_u CH_e CH_i
重視	CH_dzc CH_o CH_N# CH_sc CH_Uc #1
儘量	CH_dzi CH_i CH_n# CH_l CH_i CH_a CH_N# #2
模糊	CH_m CH_u CH_o CH_h CH_u
精緻	CH_dzi CH_i CH_N# CH_dzc CH_Uc
暫時	CH_dzc CH_a CH_n# CH_sc CH_Uc #1
處在	CH_tsc CH_u CH_dz CH_a CH_i
來源	CH_l CH_a CH_i CH_# CH_y CH_E CH_n#
遠端	CH_# CH_y CH_E CH_n# CH_d CH_u CH_a CH_n#
曲線	CH_tsi CH_y CH_si CH_i CH_E CH_n#
量化	CH_l CH_i CH_a CH_N# CH_h CH_u CH_a
聯集	CH_l CH_i CH_E CH_n# CH_dzi CH_i #1
精確	CH_dzi CH_i CH_N# CH_tsi CH_y CH_E #1
留下	CH_l CH_i CH_o CH_u CH_si CH_i CH_a
畫畫	CH_h CH_u CH_a CH_h CH_u CH_a
經常	CH_dzi CH_i CH_N# CH_tsc CH_a CH_N#
精密	CH_dzi CH_i CH_N# CH_m CH_i
難得	CH_n CH_a CH_n# CH_d CH_@
容許	CH_Zc CH_o CH_N# CH_si CH_y
敏感	CH_m CH_i CH_n# CH_g CH_a CH_n# #1
分得	CH_f CH_@ CH_n# CH_d CH_@
偏離	CH_p CH_i CH_E CH_n# CH_l CH_i
劃分	CH_h CH_u CH_a CH_f CH_@ CH_n#
少有	CH_sc CH_a CH_u CH_# CH_i CH_o CH_u
弄得	CH_n CH_o CH_N# CH_d CH_@
多餘	CH_d CH_u CH_o CH_# CH_y #1
準的	CH_dzc CH_u CH_@ CH_n# CH_d CH_i
允許	CH_# CH_y CH_n# CH_si CH_y
衍生	CH_# CH_i CH_E CH_n# CH_sc CH_@ CH_N# #1
邊界	CH_b CH_i CH_E CH_n# CH_dzi CH_i CH_E
設定	CH_sc CH_@ CH_d CH_i CH_N#
想出	CH_si CH_i CH_a CH_N# CH_tsc CH_u #1
三角	CH_s CH_a CH_n# CH_dzi CH_i CH_a CH_u
熟知	CH_sc CH_u CH_dzc CH_Uc #2
街道	CH_dzi CH_i CH_E CH_d CH_a CH_u
城市	CH_tsc CH_@ CH_N# CH_sc CH_Uc #1
一萬	CH_# CH_i CH_# CH_u CH_a CH_n#
差距	CH_tsc CH_a CH_dzi CH_y
差異	CH_tsc CH_a CH_# CH_i
顯現	CH_si CH_i CH_E CH_n# CH_si CH_i CH_E CH_n#
視覺	CH_sc CH_Uc CH_dzi CH_y CH_E
區域	CH_tsi CH_y CH_# CH_y
進行	CH_dzi CH_i CH_n# CH_si CH_i CH_N#
停止	CH_t CH_i CH_N# CH_dzc CH_Uc
最早	CH_dz CH_u CH_e CH_i CH_dz CH_a CH_u
指導	CH_dzc CH_Uc CH_d CH_a CH_u #2
發明	CH_f CH_a CH_m CH_i CH_N#
一減	CH_# CH_i CH_dzi CH_i CH_E CH_n# #1
拆掉	CH_tsc CH_a CH_i CH_d CH_i CH_a CH_u
跑到	CH_p CH_a CH_u CH_d CH_a CH_u #1
次於	CH_ts CH_U CH_# CH_y
附近	CH_f CH_u CH_dzi CH_i CH_n#
分部	CH_f CH_@ CH_n# CH_b CH_u #1
跑完	CH_p CH_a CH_u CH_# CH_u CH_a CH_n#
四段	CH_s CH_U CH_d CH_u CH_a CH_n#
步驟	CH_b CH_u CH_dz CH_o CH_u
去除	CH_tsi CH_y CH_tsc CH_u #1
起始	CH_tsi CH_i CH_sc CH_Uc #1
沒用	CH_m CH_e CH_i CH_# CH_y CH_o CH_N#
牽涉	CH_tsi CH_i CH_E CH_n# CH_sc CH_@ #1
主流	CH_dzc CH_u CH_l CH_i CH_o CH_u
台大	CH_t CH_a CH_i CH_d CH_a
校友	CH_si CH_i CH_a CH_u CH_# CH_i CH_o CH_u
論文	CH_l CH_u CH_@ CH_n# CH_# CH_u CH_@ CH_n#
作品	CH_dz CH_u CH_o CH_p CH_i CH_n#
興趣	CH_si CH_i CH_N# CH_tsi CH_y
辛苦	CH_si CH_i CH_n# CH_k CH_u
成大	CH_tsc CH_@ CH_N# CH_d CH_a
始終	CH_sc CH_Uc CH_dzc CH_o CH_N#
學家	CH_si CH_y CH_E CH_dzi CH_i CH_a
胡搞	CH_h CH_u CH_g CH_a CH_u
口型	CH_k CH_o CH_u CH_si CH_i CH_N#
跨過	CH_k CH_u CH_a CH_g CH_u CH_o
跨越	CH_k CH_u CH_a CH_# CH_y CH_E
特有	CH_t CH_@ CH_# CH_i CH_o CH_u
字音	CH_dz CH_U CH_# CH_i CH_n#
分法	CH_f CH_@ CH_n# CH_f CH_a
西方	CH_si CH_i CH_f CH_a CH_N#
諸如	CH_dzc CH_u CH_Zc CH_u
擔心	CH_d CH_a CH_n# CH_si CH_i CH_n#
現成	CH_si CH_i CH_E CH_n# CH_tsc CH_@ CH_N#
房子	CH_f CH_a CH_N# CH_dz CH_U
英國	CH_# CH_i CH_N# CH_g CH_u CH_o #1
認真	CH_Zc CH_@ CH_n# CH_dzc CH_@ CH_n#
參加	CH_ts CH_a CH_n# CH_dzi CH_i CH_a
比賽	CH_b CH_i CH_s CH_a CH_i
比美	CH_b CH_i CH_m CH_e CH_i
國人	CH_g CH_u CH_o CH_Zc CH_@ CH_n#
果然	CH_g CH_u CH_o CH_Zc CH_a CH_n#
打敗	CH_d CH_a CH_b CH_a CH_i
團隊	CH_t CH_u CH_a CH_n# CH_d CH_u CH_e CH_i
方面	CH_f CH_a CH_N# CH_m CH_i CH_E CH_n#
新台	CH_si CH_i CH_n# CH_t CH_a CH_i
效率	CH_si CH_i CH_a CH_u CH_l CH_y
總數	CH_dz CH_o CH_N# CH_sc CH_u
中立	CH_dzc CH_o CH_N# CH_l CH_i
不計	CH_b CH_u CH_dzi CH_i #1
鼻音	CH_b CH_i CH_# CH_i CH_n#
出頭	CH_tsc CH_u CH_t CH_o CH_u
幾千	CH_dzi CH_i CH_tsi CH_i CH_E CH_n#
意見	CH_# CH_i CH_dzi CH_i CH_E CH_n# #2
明顯	CH_m CH_i CH_N# CH_si CH_i CH_E CH_n#
以內	CH_# CH_i CH_n CH_e CH_i
將近	CH_dzi CH_i CH_a CH_N# CH_dzi CH_i CH_n#
五百	CH_# CH_u CH_b CH_u CH_o
結尾	CH_dzi CH_i CH_E CH_# CH_u CH_e CH_i
統統	CH_t CH_o CH_N# CH_t CH_o CH_N#
立刻	CH_l CH_i CH_k CH_@
古代	CH_g CH_u CH_d CH_a CH_i
細節	CH_si CH_i CH_dzi CH_i CH_E
